x,celltype
21:48:15:03,BR_InNeu_Sst
21:48:56:02,FC_ExNeu_PT
21:49:05:05,HC_ExNeu_CA23
21:49:12:04,HC_ExNeu_CA1
21:49:31:03,FC_ExNeu_L23
21:49:32:03,FC_ExNeu_L4
21:49:68:01,BR_InNeu_Sst
21:50:19:01,BR_InNeu_Pvalb
21:50:58:03,FC_ExNeu_L5
21:50:74:03,FC_ExNeu_L23
21:50:93:01,BR_NonNeu_OPC
21:50:94:05,BR_InNeu_Sst
21:51:49:04,HC_ExNeu_DG
21:51:85:03,FC_ExNeu_L23
21:51:92:01,FC_ExNeu_L23
21:52:15:06,BR_InNeu_Sst
21:52:31:03,FC_ExNeu_L5
21:52:33:01,FC_ExNeu_L4
21:53:24:03,FC_ExNeu_CT
21:53:53:01,BR_InNeu_CGE
21:53:77:04,HC_ExNeu_Subiculum
21:54:15:05,HC_ExNeu_DG
21:54:57:02,FC_ExNeu_NP
21:54:70:01,FC_ExNeu_Claustrum
21:54:74:04,BR_NonNeu_Astro_Myoc
21:55:05:01,FC_ExNeu_L23
21:55:33:05,HC_ExNeu_CA23
21:55:71:03,FC_ExNeu_L23
21:56:16:03,BR_NonNeu_Endothelial
21:56:20:05,HC_ExNeu_CA23
21:56:50:01,FC_ExNeu_L5
21:56:65:04,HC_ExNeu_CA23
21:57:53:03,BR_InNeu_CGE
21:58:23:02,FC_ExNeu_L5
21:58:32:02,BR_NonNeu_Endothelial
21:58:51:03,FC_ExNeu_L23
21:58:78:04,HC_ExNeu_DG
21:59:06:03,FC_ExNeu_L23
21:59:23:03,FC_ExNeu_L23
21:59:61:01,FC_ExNeu_L23
21:59:90:01,FC_ExNeu_CT
21:60:24:03,FC_ExNeu_L23
21:61:49:04,HC_ExNeu_DG
21:61:59:02,FC_ExNeu_L23
21:62:10:01,FC_ExNeu_L5
21:63:05:04,HC_ExNeu_DG
21:63:75:05,BR_NonNeu_Endothelial
21:64:36:02,FC_ExNeu_Claustrum
21:64:37:01,FC_ExNeu_L5
21:64:59:01,FC_ExNeu_L5
21:65:07:04,HC_ExNeu_CA1
21:65:21:04,HC_ExNeu_CA1
21:65:47:03,FC_ExNeu_PT
21:65:77:02,FC_ExNeu_L4
21:65:77:05,HC_ExNeu_CA1
21:66:04:03,FC_ExNeu_L5
21:66:49:05,HC_ExNeu_DG
21:66:74:03,BR_InNeu_Pvalb
21:67:34:05,HC_ExNeu_DG
21:67:43:04,HC_ExNeu_CA1
21:67:71:01,FC_ExNeu_L5
21:68:15:02,FC_ExNeu_L23
21:68:17:01,FC_ExNeu_CT
21:68:46:02,FC_ExNeu_L23
21:68:70:02,FC_ExNeu_L23
